FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Type of Transaction,Type of Property,Total Consideration
S92000003,Scotland,Country,2021-01,Count,Transactions,7940,All,All,Not Applicable
S92000003,Scotland,Country,2021-01,Count,Transactions,900,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-01,Count,Transactions,260,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-01,Count,Transactions,230,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-01,Count,Transactions,60,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,410,Conveyance,Non-residential,0 to 150 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,70,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,4600,Conveyance,Residential,0 to 145 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,1740,Conveyance,Residential,>325 to 750 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,250,"Three-year lease review, assignation or termination",All,Not Applicable
S92000003,Scotland,Country,2021-03,Count,Transactions,880,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-03,Count,Transactions,130,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,400,Lease,All,Not Applicable
S92000003,Scotland,Country,2021-03,Count,Transactions,500,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-04,Count,Transactions,60,Conveyance,Non-residential,>250 to 350 Thousand Pounds
S92000003,Scotland,Country,2021-04,Count,Transactions,660,Conveyance,Non-residential,All
S92000003,Scotland,Country,2021-03,Count,Transactions,14250,All,All,Not Applicable
S92000003,Scotland,Country,2021-03,Count,Transactions,260,Conveyance,Non-residential,>350 Thousand Pounds
S92000003,Scotland,Country,2021-03,Count,Transactions,1520,All,Non-residential,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,7640,All,Residential,Not Applicable
S92000003,Scotland,Country,2021-02,Count,Transactions,1860,Conveyance with ADS declared due,All,All
S92000003,Scotland,Country,2021-02,Count,Transactions,70,Conveyance,Non-residential,>150 to 250 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,280,Conveyance with claim for repayment of ADS,All,All
S92000003,Scotland,Country,2021-02,Count,Transactions,1000,Conveyance,Residential,>250 to 325 Thousand Pounds
S92000003,Scotland,Country,2021-02,Count,Transactions,30,Conveyance,Non-residential,>250 to 350 Thousand Pounds
